types, dx, dy, counts
Farmland, 2, 0, 6;24;6
Farmland, 2, 1, 7;20;11
Farmland, 2, 1, 7;22;9
Farmland, 2, 1, 9;22;7
Farmland, 2, 1, 11;20;7
Farmland, 3, 0, 8;20;8
Farmland, 3, 1, 7;18;13
Farmland, 3, 1, 13;18;7
Farmland, 4, 0, 12;18;12
Farmland, 4, 1, 13;17;14
Farmland, 4, 1, 14;17;13
Farmland, 6, 0, 16;16;16
Farmland, 6, 1, 16;13;19
Farmland, 6, 1, 16;14;18
Farmland, 6, 1, 18;14;16
Farmland, 6, 1, 19;13;16
Farmland, 7, 4, 24;8;24
Farmland, 8, 0, 20;12;20
Farmland, 8, 0, 22;10;22
Farmland, 8, 2, 23;9;23
Farmland, 8, 4, 24;7;25
Farmland, 8, 6, 26;5;27
Farmland, 8, 6, 26;6;26
Farmland, 8, 6, 27;5;26
Farmland, 8, 8, 28;4;28
Starfall Hammock, 2, 0, 0;8;0
Starfall Hammock, 2, 1, 2;6;2
Starfall Hammock, 2, 2, 4;4;4
Starfall Hammock, 7, 0, 3;5;3
Starfall Hammock, 7, 0, 5;3;5
Starfall Hammock, 7, 2, 6;2;6
Starfall Hammock, 7, 7, 7;1;7
Starfall Hammock;Farmland, 2, 0, 0;1;5;13;3;1
Starfall Hammock;Farmland, 2, 0, 0;1;8;8;0;1
Starfall Hammock;Farmland, 2, 0, 0;6;0;24;0;6
Starfall Hammock;Farmland, 2, 0, 0;6;0;24;1;5
Starfall Hammock;Farmland, 2, 0, 0;6;0;24;2;4
Starfall Hammock;Farmland, 2, 0, 1;1;5;12;3;1
Starfall Hammock;Farmland, 2, 0, 1;5;0;24;0;6
Starfall Hammock;Farmland, 2, 0, 1;5;0;24;1;5
Starfall Hammock;Farmland, 2, 0, 1;5;0;24;2;4
Starfall Hammock;Farmland, 2, 0, 1;5;0;24;3;1
Starfall Hammock;Farmland, 2, 0, 2;1;5;11;3;1
Starfall Hammock;Farmland, 2, 0, 2;4;0;24;2;4
Starfall Hammock;Farmland, 2, 0, 3;1;0;24;2;4
Starfall Hammock;Farmland, 2, 0, 3;1;0;24;3;1
Starfall Hammock;Farmland, 2, 0, 3;1;4;14;3;1
Starfall Hammock;Farmland, 2, 0, 3;1;5;11;2;1
Starfall Hammock;Farmland, 2, 0, 3;1;5;12;0;2
Starfall Hammock;Farmland, 2, 0, 3;1;5;12;1;1
Starfall Hammock;Farmland, 2, 1, 0;7;0;19;5;2
Starfall Hammock;Farmland, 2, 1, 0;7;0;20;0;11
Starfall Hammock;Farmland, 2, 1, 0;8;0;19;0;11
Starfall Hammock;Farmland, 2, 1, 0;8;0;22;0;8
Starfall Hammock;Farmland, 2, 1, 0;9;0;22;0;7
Starfall Hammock;Farmland, 2, 1, 0;9;0;22;1;6
